"id","text"
"dark-patterns-buster-380","Add to Compare"
"dark-patterns-buster-381","Add to Compare"
"dark-patterns-buster-382","Google Pixel 7 Pro (Hazel, 128 GB)"
"dark-patterns-buster-383","Google Pixel 7 Pro (Hazel, 128 GB)"
"dark-patterns-buster-384","12 GB RAM"
"dark-patterns-buster-385","12 GB RAM"
"dark-patterns-buster-386","4.3"
"dark-patterns-buster-387","4.3"
"dark-patterns-buster-388","(5,156)"
"dark-patterns-buster-389","(5,156)"
"dark-patterns-buster-390","₹66,999"
"dark-patterns-buster-391","₹66,999"
"dark-patterns-buster-392","₹"
"dark-patterns-buster-393","₹"
"dark-patterns-buster-394","84,999"
"dark-patterns-buster-395","84,999"
"dark-patterns-buster-396","21% off"
"dark-patterns-buster-397","21% off"
"dark-patterns-buster-398","Add to Compare"
"dark-patterns-buster-399","Add to Compare"
"dark-patterns-buster-400","Google 30 W 5 A Mobile Charger with Detachable Cable"
"dark-patterns-buster-401","Google 30 W 5 A Mobile Charger with Detachable Cable"
"dark-patterns-buster-402","White"
"dark-patterns-buster-403","White"
"dark-patterns-buster-404","₹1,399"
"dark-patterns-buster-405","₹1,399"
"dark-patterns-buster-406","₹"
"dark-patterns-buster-407","₹"
"dark-patterns-buster-408","2,199"
"dark-patterns-buster-409","2,199"
"dark-patterns-buster-410","36% off"
"dark-patterns-buster-411","36% off"
"dark-patterns-buster-412","Google Pixel 8 Pro (Obsidian, 128 GB)"
"dark-patterns-buster-413","Google Pixel 8 Pro (Obsidian, 128 GB)"
"dark-patterns-buster-414","12 GB RAM"
"dark-patterns-buster-415","12 GB RAM"
"dark-patterns-buster-416","4.4"
"dark-patterns-buster-417","4.4"
"dark-patterns-buster-418","(671)"
"dark-patterns-buster-419","(671)"
"dark-patterns-buster-420","₹1,06,999"
"dark-patterns-buster-421","₹1,06,999"
"dark-patterns-buster-422","Add to Compare"
"dark-patterns-buster-423","Add to Compare"
"dark-patterns-buster-424","Google Pixel 8 Pro (Bay, 128 GB)"
"dark-patterns-buster-425","Google Pixel 8 Pro (Bay, 128 GB)"
"dark-patterns-buster-426","12 GB RAM"
"dark-patterns-buster-427","12 GB RAM"
"dark-patterns-buster-428","4.4"
"dark-patterns-buster-429","4.4"
"dark-patterns-buster-430","(671)"
"dark-patterns-buster-431","(671)"
"dark-patterns-buster-432","₹1,06,999"
"dark-patterns-buster-433","₹1,06,999"
"dark-patterns-buster-434","Add to Compare"
"dark-patterns-buster-435","Add to Compare"
"dark-patterns-buster-436","Google Pixel 8 Pro (Obsidian, 256 GB)"
"dark-patterns-buster-437","Google Pixel 8 Pro (Obsidian, 256 GB)"
"dark-patterns-buster-438","12 GB RAM"
"dark-patterns-buster-439","12 GB RAM"
"dark-patterns-buster-440","4.4"
"dark-patterns-buster-441","4.4"
"dark-patterns-buster-442","(671)"
"dark-patterns-buster-443","(671)"
"dark-patterns-buster-444","₹1,13,999"
"dark-patterns-buster-445","₹1,13,999"
"dark-patterns-buster-446","Add to Compare"
"dark-patterns-buster-447","Add to Compare"
"dark-patterns-buster-448","Google Pixel Watch 2 Smartwatch"
"dark-patterns-buster-449","Google Pixel Watch 2 Smartwatch"
"dark-patterns-buster-450","Obsidian Active Strap, Free Size"
"dark-patterns-buster-451","Obsidian Active Strap, Free Size"
"dark-patterns-buster-452","4.5"
"dark-patterns-buster-453","4.5"
"dark-patterns-buster-454","(189)"
"dark-patterns-buster-455","(189)"
"dark-patterns-buster-456","₹39,900"
"dark-patterns-buster-457","₹39,900"
"dark-patterns-buster-458","Add to Compare"
"dark-patterns-buster-459","Add to Compare"
"dark-patterns-buster-460","Google Pixel Watch 2 Smartwatch"
"dark-patterns-buster-461","Google Pixel Watch 2 Smartwatch"
"dark-patterns-buster-462","Hazel Active Strap, Free Size"
"dark-patterns-buster-463","Hazel Active Strap, Free Size"
"dark-patterns-buster-464","4.5"
"dark-patterns-buster-465","4.5"
"dark-patterns-buster-466","(189)"
"dark-patterns-buster-467","(189)"
"dark-patterns-buster-468","₹39,900"
"dark-patterns-buster-469","₹39,900"
"dark-patterns-buster-470","Add to Compare"
"dark-patterns-buster-471","Add to Compare"
"dark-patterns-buster-472","Google Pixel Buds A-Series with Google Assistant Blueto..."
"dark-patterns-buster-473","Google Pixel Buds A-Series with Google Assistant Blueto..."
"dark-patterns-buster-474","Clearly White, True Wireless"
"dark-patterns-buster-475","Clearly White, True Wireless"
"dark-patterns-buster-476","4.3"
"dark-patterns-buster-477","4.3"
"dark-patterns-buster-478","(13,924)"
"dark-patterns-buster-479","(13,924)"
"dark-patterns-buster-480","₹9,999"
"dark-patterns-buster-481","₹9,999"
"dark-patterns-buster-482","Add to Compare"
"dark-patterns-buster-483","Add to Compare"
"dark-patterns-buster-484","Google Nest Mini with Smitch WiFi RGB Smart Bulb 10W wi..."
"dark-patterns-buster-485","Google Nest Mini with Smitch WiFi RGB Smart Bulb 10W wi..."
"dark-patterns-buster-486","Chalk"
"dark-patterns-buster-487","Chalk"
"dark-patterns-buster-488","4.1"
"dark-patterns-buster-489","4.1"
"dark-patterns-buster-490","(1,338)"
"dark-patterns-buster-491","(1,338)"
"dark-patterns-buster-492","₹4,999"
"dark-patterns-buster-493","₹4,999"
"dark-patterns-buster-494","Add to Compare"
"dark-patterns-buster-495","Add to Compare"
"dark-patterns-buster-496","Google Pixel Watch 2 Smartwatch"
"dark-patterns-buster-497","Google Pixel Watch 2 Smartwatch"
"dark-patterns-buster-498","Porcelain Active Strap, Free Size"
"dark-patterns-buster-499","Porcelain Active Strap, Free Size"
"dark-patterns-buster-500","4.5"
"dark-patterns-buster-501","4.5"
